delete_order,table_name,target_count,fingerprint_md5
1,cell_explanations,13,0824fcb512059aaf5ba30ae852585264
2,cell_classification_reviews,4,3486330bff87c1165cca139182738a4c
3,cell_classification_events,2191,13954b8bfdaffac618ea5ce3e5d0a098
4,smear_analysis_summaries,34,8efac16c8aff0ba4073e0950823686d3
5,cell_predictions,1901,061d6d38623ea0a6149b47e491777fce
6,cell_classification_inputs,2291,b980ef122c92e9b3cad7d864745eb6da
7,cell_classification_runs,41,9789e85835320d1b8724c2afd3d5c299
8,scientific_reviews,11,365282b4d029f220e4516cef8ce7f58b
9,cell_crops,2505,23eada081280439590a6d5051475a367
10,cell_detection_events,182,311ac4f1fe5fa4f25a7898a51ef51148
11,cell_detections,2505,094055d5a188166adfd3cf37bfb5a418
12,image_connected_components,3718,9669c51d1b98ca2e627e5260d886b645
13,cell_detection_runs,45,b7f2bb39502c8304ef53abf3a1d8f9b0
14,quality_gate_decisions,4,9f44c71e4eda18b24296c402c6e48ff6
15,quality_assessment_queue_items,50,d06683857c267f1381777639147cd726
16,microscopy_analysis_events,258,593a2c162cee269a239ff9d3a6860f91
17,image_quality_assessments,52,4028572e2316de07c6a90c29070b27e4
18,microscopy_analysis_run_images,52,e80bdce94a1ba506cce0b0a4ae635015
19,microscopy_analysis_runs,50,1023a8fb46cf80a7a477329e6b1f4a3d
20,microscopy_images,59,90f24076bfaaf1cf53cd033ba9ba8850
21,image_ingestion_batches,53,c70492346b2b1a7a1c6d9f05bdfc62c5
22,smear_slides,53,b3e5ee9c0521696d1605811f58d00f31
23,blood_samples,53,2fc49cbe4ec8ec45228558fb8b07a6ee
24,scientific_cases,53,e79c5a2843be1886df79305641f0e3ac
25,research_subjects,53,4957beb5fa945de95726bf8d11112429
