archivo,tipo_objeto,categoria,clasificacion_contenido,bytes,namespace,extension,sha256,referencia_postgresql,clinico,huerfano,recomendacion
backend_api/var/storage/cell-explanations/1c49de91-f3ba-4794-8cbd-62bc966049c5/f65d72af-d0e9-4219-886a-20238d512871/d2b713e3-3124-4d27-8581-c812695e32d0/gradcam_heatmap.png,Archivo científico,git_tracked_data,clinical_referenced,11148,cell-explanations,.png,3dc7c3ad3617702c47acb68fb75afda0c441fa5ac9c55d59c4fff1056d72f80d,"cell_explanations:[""ee7c2314-f17f-430e-8d92-90e4b13ec379""]:heatmap_storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
backend_api/var/storage/cell-explanations/1c49de91-f3ba-4794-8cbd-62bc966049c5/f65d72af-d0e9-4219-886a-20238d512871/d2b713e3-3124-4d27-8581-c812695e32d0/gradcam_overlay.png,Archivo científico,git_tracked_data,clinical_referenced,48738,cell-explanations,.png,d7e7b3dc1988a99d4abae1fe3c28bf255660cbdf2735526b7ed135add1f8a64a,"cell_explanations:[""ee7c2314-f17f-430e-8d92-90e4b13ec379""]:overlay_storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
backend_api/var/storage/cell-explanations/214fd936-3c74-4042-937a-3131ff495bdd/1361f54c-2c8c-4f3c-85d7-0f5c373b8cae/da668de5-b248-4d9b-92c5-165554961c85/gradcam_heatmap.png,Archivo científico,git_tracked_data,clinical_referenced,11386,cell-explanations,.png,92a59851bdbe5fc5dcfeb0e76234ac37bc4f81a50d28ac30defc99bada7946d9,"cell_explanations:[""69f5560f-d288-480d-9853-92c0b9fa864f""]:heatmap_storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
backend_api/var/storage/cell-explanations/214fd936-3c74-4042-937a-3131ff495bdd/1361f54c-2c8c-4f3c-85d7-0f5c373b8cae/da668de5-b248-4d9b-92c5-165554961c85/gradcam_overlay.png,Archivo científico,git_tracked_data,clinical_referenced,44482,cell-explanations,.png,522eb9b2bcfdd20d15733e89d3ea9ed783807ecdf971a030983aba5966cb05ec,"cell_explanations:[""69f5560f-d288-480d-9853-92c0b9fa864f""]:overlay_storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
backend_api/var/storage/cell-explanations/ae68a99c-11f7-457a-88f8-3cef9a144958/827ca552-01cd-4de1-b053-76481d951da4/b44d5a75-10c6-4139-8383-b1c87a514006/gradcam_heatmap.png,Archivo científico,git_tracked_data,clinical_referenced,9690,cell-explanations,.png,d65b55038b5f143f9bf3bf5748906e3fdcf2d48a3f4916a7078a8119e307584a,"cell_explanations:[""1b6bfcbe-baa5-4d5a-b735-a2d5c9f3a72e""]:heatmap_storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
backend_api/var/storage/cell-explanations/ae68a99c-11f7-457a-88f8-3cef9a144958/827ca552-01cd-4de1-b053-76481d951da4/b44d5a75-10c6-4139-8383-b1c87a514006/gradcam_overlay.png,Archivo científico,git_tracked_data,clinical_referenced,38752,cell-explanations,.png,a1280feb9cf1e4f6ed6f66d152a5b2ddf3bbfc4b10aed3fd65f33c1948c27d8e,"cell_explanations:[""1b6bfcbe-baa5-4d5a-b735-a2d5c9f3a72e""]:overlay_storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
var/storage/cell-explanations/1c49c468-795c-45ed-98a4-e3670ddd5182/d2055c79-26a2-4105-809d-82254e016cf1/751ec159-520c-4321-97b6-60849442bb4a/gradcam_heatmap.png,Archivo científico,git_tracked_data,clinical_referenced,1653,cell-explanations,.png,59ed0ea28ab7a4a483a60b78ccfb9c63d0c3b5b94ad99365d4eaea6ab418837d,"cell_explanations:[""3e7be3e1-1b84-4637-93d3-6091b3b4c021""]:heatmap_storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
var/storage/cell-explanations/1c49c468-795c-45ed-98a4-e3670ddd5182/d2055c79-26a2-4105-809d-82254e016cf1/751ec159-520c-4321-97b6-60849442bb4a/gradcam_overlay.png,Archivo científico,git_tracked_data,clinical_referenced,30310,cell-explanations,.png,03c8482efdb395317813a1c753a465f044837ae021c12cc71f85d90112699f4c,"cell_explanations:[""3e7be3e1-1b84-4637-93d3-6091b3b4c021""]:overlay_storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
var/storage/cell-explanations/7a11c0f4-a9d7-4446-a5f2-437ffc334a6c/e4fbb1f9-34d4-490c-98a6-b94c51ba417f/5d45f2ae-cdeb-47e8-97aa-450822964edb/gradcam_heatmap.png,Archivo científico,git_tracked_data,orphan_candidate,10867,cell-explanations,.png,0475214a665103a87c6d953680d0c7fbe7ed0e999c2bb497160d5ec861135fa3,Sin referencia exacta en columnas path/storage_key/JSON inspeccionadas,no demostrado; namespace celular,candidato; revisar consumidores externos,Revisar huérfano; no eliminar en esta fase
var/storage/cell-explanations/7a11c0f4-a9d7-4446-a5f2-437ffc334a6c/e4fbb1f9-34d4-490c-98a6-b94c51ba417f/5d45f2ae-cdeb-47e8-97aa-450822964edb/gradcam_overlay.png,Archivo científico,git_tracked_data,orphan_candidate,49123,cell-explanations,.png,c215dcebc2c021a053503fc6138d5d7f62a687c93b27d8c2c4db39b17f572e6e,Sin referencia exacta en columnas path/storage_key/JSON inspeccionadas,no demostrado; namespace celular,candidato; revisar consumidores externos,Revisar huérfano; no eliminar en esta fase
var/storage/cell-explanations/7eba770f-f337-4ed5-b174-fb4c18baaae5/3735f632-8998-43e9-9c12-4b43cd139734/57154395-fcd7-4e75-8f31-2029c81f9a1f/gradcam_heatmap.png,Archivo científico,git_tracked_data,clinical_referenced,8755,cell-explanations,.png,1da892f813cb9604df7e9a0279f0048597601d3deb782f72245c10402c4a4337,"cell_explanations:[""a327f553-b03c-47b3-92ac-efc6257e4c5f""]:heatmap_storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
var/storage/cell-explanations/7eba770f-f337-4ed5-b174-fb4c18baaae5/3735f632-8998-43e9-9c12-4b43cd139734/57154395-fcd7-4e75-8f31-2029c81f9a1f/gradcam_overlay.png,Archivo científico,git_tracked_data,clinical_referenced,41848,cell-explanations,.png,e5e0b893bd387229fa680bdece04cb823932ade5ea104ca6973f021808e69a2c,"cell_explanations:[""a327f553-b03c-47b3-92ac-efc6257e4c5f""]:overlay_storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
var/storage/microscopy-images/2d426944-5c81-4828-ab60-da548850d831/957cce84-6faf-493e-b75d-94e25a9cc4c2/d5ff2101-21f5-4912-8e0c-5861ce00468c/86f57337-3130-4c9d-9284-6d6ff68c1991/0069462ea6878cc34cc022e437ea98dae0f4bd026ffa9826e9cda33792ec411f.jpg,Archivo científico,git_tracked_data,clinical_referenced,148616,microscopy-images,.jpg,0069462ea6878cc34cc022e437ea98dae0f4bd026ffa9826e9cda33792ec411f,"microscopy_images:[""86f57337-3130-4c9d-9284-6d6ff68c1991""]:storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
var/storage/microscopy-images/516fb6d2-bd5a-45d8-9dfc-bab9b3845427/5dea83e8-e6be-4993-8d4c-ef415f69c5cd/4b10fb9a-e16b-4a49-9f11-49901acaec30/4ebaddab-a38e-4f6f-9258-2b1f46df62ba/4c53631ba4a26f1652e1a0892071a2152fd96012ab774f15f0059f5cc6e39275.jpg,Archivo científico,git_tracked_data,clinical_referenced,467089,microscopy-images,.jpg,4c53631ba4a26f1652e1a0892071a2152fd96012ab774f15f0059f5cc6e39275,"microscopy_images:[""4ebaddab-a38e-4f6f-9258-2b1f46df62ba""]:storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
var/storage/microscopy-images/6949a1c4-f73a-4477-8298-1a87bf171ff1/1313ca91-49ef-41fd-a115-c416c9e9b150/cb1d48da-4f45-4f09-8b79-56e91b763bc4/341ae166-7910-427a-94aa-721eac5cb386/54f75174551fe2e9d4e4248bcf9d78dbf3cf1afa2c853360d29d221348db8b30.jpg,Archivo científico,git_tracked_data,clinical_referenced,489144,microscopy-images,.jpg,54f75174551fe2e9d4e4248bcf9d78dbf3cf1afa2c853360d29d221348db8b30,"microscopy_images:[""341ae166-7910-427a-94aa-721eac5cb386""]:storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
var/storage/microscopy-images/6949a1c4-f73a-4477-8298-1a87bf171ff1/1313ca91-49ef-41fd-a115-c416c9e9b150/cb1d48da-4f45-4f09-8b79-56e91b763bc4/64a62ec4-66db-46a9-b9c9-ce61a7612ae5/5041246252d879cedbcb9dab66fe3432824cfbcb17fdc84bfcca2ddb85c04580.jpg,Archivo científico,git_tracked_data,clinical_referenced,480248,microscopy-images,.jpg,5041246252d879cedbcb9dab66fe3432824cfbcb17fdc84bfcca2ddb85c04580,"microscopy_images:[""64a62ec4-66db-46a9-b9c9-ce61a7612ae5""]:storage_key",sí,no: referencia DB,Retirar del índice en fase posterior tras reconciliar volumen canónico
