validation_name,conflict_count,expected_count,status
ambiguous_audit,0,0,PASS
excluded_table:artifacts,0,0,PASS
excluded_table:classification_reports,0,0,PASS
excluded_table:clinical_identities,0,0,PASS
excluded_table:confusion_matrices,0,0,PASS
excluded_table:dataset_materialization_activations,0,0,PASS
excluded_table:dataset_materializations,0,0,PASS
excluded_table:datasets,0,0,PASS
excluded_table:dataset_source_records,0,0,PASS
excluded_table:dataset_split_assignments,0,0,PASS
excluded_table:dataset_split_images,0,0,PASS
excluded_table:dataset_splits,0,0,PASS
excluded_table:dataset_split_statistics,0,0,PASS
excluded_table:dataset_split_validation_checks,0,0,PASS
excluded_table:dataset_versions,0,0,PASS
excluded_table:dataset_version_sources,0,0,PASS
excluded_table:deployed_model_versions,0,0,PASS
excluded_table:environment_packages,0,0,PASS
excluded_table:errors,0,0,PASS
excluded_table:execution_logs,0,0,PASS
excluded_table:experiments,0,0,PASS
excluded_table:explainability_results,0,0,PASS
excluded_table:identity_evidence,0,0,PASS
excluded_table:image_analysis_jobs,0,0,PASS
excluded_table:model_governance_backfill_audit,0,0,PASS
excluded_table:models,0,0,PASS
excluded_table:model_versions,0,0,PASS
excluded_table:predictions,0,0,PASS
excluded_table:roles,0,0,PASS
excluded_table:run_checkpoint_policy,0,0,PASS
excluded_table:run_clinical_metrics,0,0,PASS
excluded_table:run_dataset_images,0,0,PASS
excluded_table:run_image_predictions,0,0,PASS
excluded_table:run_io_records,0,0,PASS
excluded_table:run_lineage,0,0,PASS
excluded_table:run_metrics,0,0,PASS
excluded_table:run_model_deployments,0,0,PASS
excluded_table:runs,0,0,PASS
excluded_table:run_threshold_calibration,0,0,PASS
excluded_table:schema_migrations,0,0,PASS
excluded_table:scientific_validation_annotation_events,0,0,PASS
excluded_table:scientific_validation_annotations,0,0,PASS
excluded_table:scientific_validation_classification_runs,0,0,PASS
excluded_table:scientific_validation_detection_runs,0,0,PASS
excluded_table:scientific_validation_images,0,0,PASS
excluded_table:scientific_validation_sessions,0,0,PASS
excluded_table:stage2_model_publication_events,0,0,PASS
excluded_table:stage2_model_publications,0,0,PASS
excluded_table:synthetic_data_runs,0,0,PASS
excluded_table:training_history,0,0,PASS
excluded_table:user_roles,0,0,PASS
excluded_table:users,0,0,PASS
inbound:blood_samples_case_id_fkey,0,0,PASS
inbound:cell_classification_events_cell_detection_id_fkey,0,0,PASS
inbound:cell_classification_events_classification_run_id_fkey,0,0,PASS
inbound:cell_classification_reviews_cell_prediction_id_fkey,0,0,PASS
inbound:cell_classification_runs_retry_of_run_id_fkey,0,0,PASS
inbound:cell_detection_events_detection_run_id_fkey,0,0,PASS
inbound:cell_detection_events_microscopy_image_id_fkey,0,0,PASS
inbound:cell_detection_runs_analysis_run_id_fkey,0,0,PASS
inbound:cell_explanations_cell_prediction_id_fkey,0,0,PASS
inbound:fk_cell_classification_event_prediction,0,0,PASS
inbound:fk_cell_classification_input_crop,0,0,PASS
inbound:fk_cell_classification_input_detection,0,0,PASS
inbound:fk_cell_classification_input_run_detection,0,0,PASS
inbound:fk_cell_classification_run_detection_analysis,0,0,PASS
inbound:fk_cell_crops_detection,0,0,PASS
inbound:fk_cell_detections_component,0,0,PASS
inbound:fk_cell_detections_run_analysis,0,0,PASS
inbound:fk_cell_prediction_input_owner,0,0,PASS
inbound:fk_components_detection_analysis,0,0,PASS
inbound:fk_components_frozen_image,0,0,PASS
inbound:fk_smear_summary_classification_lineage,0,0,PASS
inbound:image_ingestion_batches_case_id_fkey,0,0,PASS
inbound:image_ingestion_batches_sample_id_fkey,0,0,PASS
inbound:image_ingestion_batches_slide_id_fkey,0,0,PASS
inbound:image_ingestion_batches_subject_id_fkey,0,0,PASS
inbound:image_quality_assessments_analysis_run_id_fkey,0,0,PASS
inbound:image_quality_assessments_analysis_run_image_id_analysis_r_fkey,0,0,PASS
inbound:image_quality_assessments_microscopy_image_id_fkey,0,0,PASS
inbound:microscopy_analysis_events_analysis_run_id_fkey,0,0,PASS
inbound:microscopy_analysis_events_microscopy_image_id_fkey,0,0,PASS
inbound:microscopy_analysis_run_images_analysis_run_id_fkey,0,0,PASS
inbound:microscopy_analysis_run_images_microscopy_image_id_fkey,0,0,PASS
inbound:microscopy_analysis_runs_case_id_fkey,0,0,PASS
inbound:microscopy_analysis_runs_ingestion_batch_id_fkey,0,0,PASS
inbound:microscopy_analysis_runs_sample_id_fkey,0,0,PASS
inbound:microscopy_analysis_runs_slide_id_fkey,0,0,PASS
inbound:microscopy_analysis_runs_subject_id_fkey,0,0,PASS
inbound:microscopy_images_ingestion_batch_id_fkey,0,0,PASS
inbound:microscopy_images_slide_id_fkey,0,0,PASS
inbound:quality_assessment_queue_items_analysis_run_id_fkey,0,0,PASS
inbound:quality_gate_decisions_analysis_run_id_fkey,0,0,PASS
inbound:scientific_cases_subject_id_fkey,0,0,PASS
inbound:scientific_reviews_entity_id_fkey,0,0,PASS
inbound:scientific_validation_annotations_analysis_run_id_fkey,0,0,PASS
