event_object_table,trigger_name,action_statement
audit_events,audit_events_append_only,EXECUTE FUNCTION prevent_audit_event_mutation()
cell_classification_events,trg_cell_classification_events_append_only,EXECUTE FUNCTION reject_cell_classification_row_mutation()
cell_classification_inputs,trg_cell_classification_inputs_append_only,EXECUTE FUNCTION reject_cell_classification_row_mutation()
cell_classification_reviews,trg_cell_classification_reviews_append_only,EXECUTE FUNCTION reject_cell_classification_row_mutation()
cell_classification_runs,trg_cell_classification_runs_protected,EXECUTE FUNCTION protect_cell_classification_run()
cell_crops,trg_cell_crops_append_only,EXECUTE FUNCTION reject_cell_analysis_row_mutation()
cell_detection_events,trg_cell_detection_events_append_only,EXECUTE FUNCTION reject_cell_analysis_row_mutation()
cell_detection_runs,trg_cell_detection_runs_immutable_identity,EXECUTE FUNCTION protect_cell_detection_run_identity()
cell_detections,trg_cell_detections_append_only,EXECUTE FUNCTION reject_cell_analysis_row_mutation()
cell_explanations,trg_cell_explanations_protected,EXECUTE FUNCTION protect_cell_explanation()
cell_predictions,trg_cell_predictions_append_only,EXECUTE FUNCTION reject_cell_classification_row_mutation()
image_connected_components,trg_image_connected_components_append_only,EXECUTE FUNCTION reject_cell_analysis_row_mutation()
scientific_reviews,trg_scientific_reviews_append_only,EXECUTE FUNCTION reject_cell_analysis_row_mutation()
smear_analysis_summaries,trg_smear_analysis_summaries_append_only,EXECUTE FUNCTION reject_cell_classification_row_mutation()
